,SNP,Lab_name,best_measure,best_P,best_OR_Beta,catalog_assoc_SNP,catalog_assoc_gene,CHR,MapInfo,gene,rsID,cases,eh_case,el_case,Mutation,MAF_W,mean_Beta,mean_P,median_Beta,median_P,first_Beta,first_P,min_Beta,min_P,max_Beta,max_P,ever_low_OR,ever_low_P,ever_high_OR,ever_high_P,Lab_cat,Lab_full_name,SNP.1,lab_name,jd_string,trait
711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rs2569507,Trigs,Hyperglyceridemia,Obesity-related traits (TG )
720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rs7396835,Trigs,Hyperglyceridemia,Quantitative traits (TG)
721,rs4420638,Trigs,first,8.856e-05,10.21,"Alzheimer's disease (age of onset) || Alzheimer's disease || C-reactive protein || LDL cholesterol || HDL cholesterol || Alzheimer's disease (late onset) || Quantitative traits (CRP) || Age-related macular degeneration || Cholesterol, total || Quantitative traits (TC) || Lipoprotein-associated phospholipase A2 activity and mass (activity) || Cognitive decline || Triglycerides (LDL) || Lipid traits (LDL-C) || Quantitative traits (TG) || Lipoprotein-associated phospholipase A2 activity and mass (Activity concentrations) || Longevity",,19,45422946.0,,rs4420638,14345.0,11359.0,0.0,,0.1801,5.327999999999999,0.0009901,4.301,0.0041670000000000006,10.21,8.856e-05,2.325,0.03619,15.75,0.00013969999999999998,1.0,1.0,1.06,0.1247,Lipids,TRIGLYCERIDES BLOOD,rs4420638,Trigs,Hyperglyceridemia,Quantitative traits (TG)
723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rs2160669,Trigs,Hyperglyceridemia,Triglycerides
724,rs1832007,Trigs,min,0.01996,2.767,Triglycerides,,10,5254847.0,AKR1C4,rs1832007,14345.0,11359.0,0.0,Silent,0.1538,2.6189999999999998,0.1328,2.072,0.1998,3.367,0.2307,2.767,0.01996,3.286,0.4608,1.0,1.0,1.04,0.3025,Lipids,TRIGLYCERIDES BLOOD,rs1832007,Trigs,Hyperglyceridemia,Triglycerides
725,rs2131925,Trigs,median,2.889e-05,-5.113,"Cholesterol, total || Triglycerides || LDL cholesterol","Lipid metabolism phenotypes (VLDL.small, fasting) || Triglycerides || Lipid metabolism phenotypes (MobCH) || Cholesterol, total || LDL cholesterol || Metabolite levels || Lipid metabolism phenotypes (TG.by.NMR, fasting) || Lipid metabolism phenotypes (TG.by.NMR, whole) || Lipid metabolism phenotypes (VLDL.medium, fasting) || Lipid metabolism phenotypes (VLDL.small, whole) || Lipid metabolism phenotypes (VLDL.total, fasting) || Lipid metabolism phenotypes (VLDL.total, whole)",1,63025942.0,DOCK7,rs2131925,14345.0,11359.0,0.0,Silent,0.34,-5.412999999999999,3.91e-05,-5.113,2.889e-05,-4.808,0.02324,-2.7739999999999996,0.002068,-10.32,0.002114,1.0,1.0,0.98,0.5547,Lipids,TRIGLYCERIDES BLOOD,rs2131925,Trigs,Hyperglyceridemia,Triglycerides
726,rs964184,Trigs,median,4.065e-42,22.39,"Cholesterol, total || LDL cholesterol || Vitamin E levels || HDL cholesterol || HDL cholesterol (Hispanic) || Response to Vitamin E supplementation (change in alpha-TOH) || Metabolic syndrome (TG) || Metabolite levels || Lipoprotein-associated phospholipase A2 activity and mass (Activity concentrations) || Triglycerides || Hypertriglyceridemia || Triglycerides (Hispanic) || Phospholipid levels (plasma) (proportions) || Response to Vitamin E supplementation (alpha-TOH) || Coronary heart disease",,11,116648917.0,,rs964184,14345.0,11359.0,0.0,,0.1351,23.85,2.827e-41,22.39,4.065e-42,29.87,1.3539999999999998e-25,12.5,7.561000000000001e-25,44.67,5.935000000000001e-23,1.0,1.0,1.22,5.451e-06,Lipids,TRIGLYCERIDES BLOOD,rs964184,Trigs,Hyperglyceridemia,Triglycerides
727,rs2412710,Trigs,ever_high,0.1727,1.161,Triglycerides,Triglycerides,15,42683787.0,CAPN3,rs2412710,14345.0,11359.0,0.0,"Silent,Silent,Silent",0.01823,5.402,0.228,4.077,0.3274,7.085,0.326,3.179,0.2999,12.12,0.2893,1.0,1.0,1.16,0.1727,Lipids,TRIGLYCERIDES BLOOD,rs2412710,Trigs,Hyperglyceridemia,Triglycerides
728,rs3764261,Trigs,median,0.0003796,-4.3469999999999995,"HDL cholesterol || Waist circumference and related phenotypes (HDL cholesterol) || Cholesterol, total || Hematological and biochemical traits (HDL) || Metabolic syndrome (bivariate traits) (BP-HDLC) || Lipid metabolism phenotypes (HDL-C) || LDL cholesterol || Triglycerides || Metabolic syndrome (HDL) || Age-related macular degeneration || Lipoprotein-associated phospholipase A2 activity and mass (mass)",,16,56993324.0,,rs3764261,14345.0,11359.0,0.0,,0.3279,-3.927,0.002862,-4.3469999999999995,0.0003796,-3.062,0.1485,-3.025,0.0007838,-4.175,0.2139,1.0,1.0,0.93,0.01114,Lipids,TRIGLYCERIDES BLOOD,rs3764261,Trigs,Hyperglyceridemia,Triglycerides
729,rs10401969,Trigs,max,0.007951999999999999,-15.65,"Cholesterol, total || LDL cholesterol || Triglycerides","Cholesterol, total || LDL cholesterol || Triglycerides",19,19407718.0,SUGP1,rs10401969,14345.0,11359.0,0.0,Silent,0.07819,-5.945,0.01018,-5.377000000000001,0.01229,-8.332,0.02511,-2.036,0.198,-15.65,0.007951999999999999,1.0,1.0,0.98,0.6704,Lipids,TRIGLYCERIDES BLOOD,rs10401969,Trigs,Hyperglyceridemia,Triglycerides
731,rs2068888,Trigs,median,0.002337,-3.542,Triglycerides,,10,94839642.0,,rs2068888,14345.0,11359.0,0.0,,0.4494,-3.42,0.006332,-3.542,0.002337,-3.923,0.05164,-1.8459999999999999,0.03121,-5.01,0.11699999999999999,1.0,1.0,0.99,0.8387,Lipids,TRIGLYCERIDES BLOOD,rs2068888,Trigs,Hyperglyceridemia,Triglycerides
732,rs174546,Trigs,median,5.545e-07,6.087000000000001,"Cholesterol, total || HDL cholesterol || Metabolic syndrome (HDL) || LDL cholesterol || Triglycerides","Cholesterol, total || HDL cholesterol || LDL cholesterol || Metabolic syndrome (HDL) || Triglycerides || Comprehensive strength and appendicular lean mass (Males + Females) || Lipid metabolism phenotypes (LA/PUFA) || Metabolic traits (SM-3 + 152 other traits) || Metabolite levels (PC aa C36:3/PC aa C36:4) || Phospholipid levels (plasma) (ALA) || Phospholipid levels (plasma) (DPA) || Resting heart rate || Hematology traits (ALB/GLB) || Metabolite levels (PC) || Comprehensive strength and appendicular lean mass (Males) || Heart rate || Metabolite levels (Glycerolphosphocholine) || Fasting glucose-related traits (FPG) || Fasting glucose-related traits (HOMA-B) || Fasting glucose-related traits (interaction with BMI) || Phospholipid levels (plasma) (EPA)",11,61569830.0,FADS1,rs174546,14345.0,11359.0,0.0,Silent,0.3369,6.457999999999999,8.057e-07,6.087000000000001,5.545e-07,7.22,0.0006096,3.202,0.0003488,13.23,7.43e-05,1.0,1.0,1.01,0.6435,Lipids,TRIGLYCERIDES BLOOD,rs174546,Trigs,Hyperglyceridemia,Triglycerides
733,rs2929282,Trigs,max,0.02721,16.25,Triglycerides,Triglycerides || Serum albumin level (EA),15,44245931.0,FRMD5,rs2929282,14345.0,11359.0,0.0,Silent,0.0462,4.9110000000000005,0.08863,3.875,0.1481,8.666,0.06188,0.6653,0.736,16.25,0.02721,1.0,1.0,1.06,0.4321,Lipids,TRIGLYCERIDES BLOOD,rs2929282,Trigs,Hyperglyceridemia,Triglycerides
734,rs4846914,Trigs,median,0.0008957,3.88,HDL cholesterol || Triglycerides,Circulating myeloperoxidase levels (serum) || HDL cholesterol || Triglycerides || Hematology traits (ALB/GLB) || Metabolic syndrome (HDL) || Metabolite levels,1,230295691.0,GALNT2,rs4846914,14345.0,11359.0,0.0,Silent,0.4001,4.17,0.0009154,3.88,0.0008957,4.02,0.04704,2.309,0.007277,5.983,0.062229999999999994,1.0,1.0,1.04,0.2245,Lipids,TRIGLYCERIDES BLOOD,rs4846914,Trigs,Hyperglyceridemia,Triglycerides
736,rs7248104,Trigs,first,0.1391,-3.01,Triglycerides,Height || Urate levels || Polycystic ovary syndrome || Diabetic retinopathy || Hypothyroidism || Thyroid hormone levels (TSH - Females) || Thyroid hormone levels (TSH),19,7224431.0,INSR,rs7248104,14345.0,11359.0,0.0,"Silent,Silent",0.4161,-1.331,0.2924,-1.48,0.2078,-3.01,0.1391,-0.6065,0.4832,-1.445,0.6543,1.0,1.0,0.98,0.4898,Lipids,TRIGLYCERIDES BLOOD,rs7248104,Trigs,Hyperglyceridemia,Triglycerides
737,rs2972146,Trigs,max,0.03279,-7.035,Triglycerides || HDL cholesterol,,2,227100698.0,,rs2972146,14345.0,11359.0,0.0,,0.3547,-2.088,0.106,-1.712,0.1537,-3.7089999999999996,0.07442,0.3323,0.7069,-7.035,0.03279,1.0,1.0,0.97,0.3007,Lipids,TRIGLYCERIDES BLOOD,rs2972146,Trigs,Hyperglyceridemia,Triglycerides
738,rs10761731,Trigs,mean,3.521e-05,-5.182,Platelet counts || Triglycerides,Mean platelet volume || Platelet counts || Arthritis (juvenile idiopathic) || Mean platelet volume (Platelet Count) || Sex hormone-binding globulin levels (Men + Women) || Sex hormone-binding globulin levels (Men) || Sex hormone-binding globulin levels (Women) || Liver enzyme levels (alkaline phosphatase) || Triglycerides || Response to fenofibrate (LDL diameter) || Liver enzyme levels (ALP),10,65027610.0,JMJD1C,rs10761731,14345.0,11359.0,0.0,"Silent,Silent",0.4221,-5.182,3.521e-05,-4.44,0.0001359,-2.786,0.16699999999999998,-3.3310000000000004,0.00010120000000000001,-8.476,0.007995,1.0,1.0,0.99,0.723,Lipids,TRIGLYCERIDES BLOOD,rs10761731,Trigs,Hyperglyceridemia,Triglycerides
739,rs442177,Trigs,median,0.1268,-1.7919999999999998,Triglycerides,Systemic lupus erythematosus || Alzheimer's disease (cognitive decline) || Triglycerides,4,88030261.0,AFF1,rs442177,14345.0,11359.0,0.0,"Silent,Silent",0.4115,-1.7109999999999999,0.1758,-1.7919999999999998,0.1268,-2.1790000000000003,0.2839,-1.136,0.1888,-3.448,0.2848,1.0,1.0,1.01,0.6502,Lipids,TRIGLYCERIDES BLOOD,rs442177,Trigs,Hyperglyceridemia,Triglycerides
740,rs1532085,Trigs,min,0.08217,1.517,"HDL cholesterol || Triglycerides || Lipid metabolism phenotypes (IDL.total, whole) || Red blood cell traits (Hgb) || Lipid metabolism phenotypes (IDL.total, fasting) || Metabolite levels || Cholesterol, total || Lipid metabolism phenotypes (HDL-C.assay, fasting) || Metabolic syndrome (HDL)",,15,58683366.0,,rs1532085,14345.0,11359.0,0.0,,0.3797,1.9509999999999998,0.1263,1.8019999999999998,0.1285,1.095,0.5939,1.517,0.08217,4.673,0.1512,1.0,1.0,0.99,0.8223,Lipids,TRIGLYCERIDES BLOOD,rs1532085,Trigs,Hyperglyceridemia,Triglycerides
741,rs12678919,Trigs,median,3.765e-18,-16.57,HDL cholesterol || Hematological and biochemical traits (HDL) || Triglycerides || Metabolite levels,,8,19844222.0,,rs12678919,14345.0,11359.0,0.0,,0.1001,-17.67,7.683e-18,-16.57,3.765e-18,-20.31,8.025e-10,-9.263,4.357e-11,-31.82,1.262e-09,1.0,1.0,0.83,7.821e-05,Lipids,TRIGLYCERIDES BLOOD,rs12678919,Trigs,Hyperglyceridemia,Triglycerides
743,rs6831256,Trigs,first,0.045630000000000004,3.977,"Cholesterol, total || Triglycerides || LDL cholesterol",,4,3473139.0,DOK7,rs6831256,14345.0,11359.0,0.0,"Silent,Silent",0.4338,2.2769999999999997,0.0655,2.253,0.04975,3.977,0.045630000000000004,1.5130000000000001,0.07368,4.849,0.1242,1.0,1.0,1.04,0.2289,Lipids,TRIGLYCERIDES BLOOD,rs6831256,Trigs,Hyperglyceridemia,Triglycerides
744,rs9686661,Trigs,median,4.852e-06,6.54,Triglycerides,,5,55861786.0,,rs9686661,14345.0,11359.0,0.0,,0.2006,6.824,9.411e-06,6.54,4.852e-06,5.388,0.02976,4.281000000000001,4.843e-05,9.837,0.01231,1.0,1.0,1.03,0.4853,Lipids,TRIGLYCERIDES BLOOD,rs9686661,Trigs,Hyperglyceridemia,Triglycerides
745,rs38855,Trigs,min,0.2494,0.9728,Triglycerides,Multiple sclerosis (severity),7,116358044.0,MET,rs38855,14345.0,11359.0,0.0,"Silent,Silent",0.4689,1.268,0.3043,1.1159999999999999,0.3306,-0.1102,0.9558,0.9728,0.2494,1.98,0.5296,1.0,1.0,0.98,0.5614,Lipids,TRIGLYCERIDES BLOOD,rs38855,Trigs,Hyperglyceridemia,Triglycerides
746,rs4722551,Trigs,median,0.0246,-3.603,"Cholesterol, total || Triglycerides || LDL cholesterol",,7,25991826.0,,rs4722551,14345.0,11359.0,0.0,,0.1573,-3.8760000000000003,0.02469,-3.603,0.0246,-6.156000000000001,0.02663,-2.314,0.049960000000000004,-7.325,0.09612000000000001,1.0,1.0,0.99,0.7315,Lipids,TRIGLYCERIDES BLOOD,rs4722551,Trigs,Hyperglyceridemia,Triglycerides
747,rs17145738,Trigs,mean,7.996999999999999e-07,-9.411,Triglycerides || HDL cholesterol,,7,72982874.0,,rs17145738,14345.0,11359.0,0.0,,0.1212,-9.411,7.996999999999999e-07,-8.275,2.9860000000000003e-06,-7.727,0.01182,-4.084,0.0017460000000000002,-20.5,2.5e-05,1.0,1.0,0.97,0.4534,Lipids,TRIGLYCERIDES BLOOD,rs17145738,Trigs,Hyperglyceridemia,Triglycerides
748,rs8077889,Trigs,ever_high,0.054479999999999994,1.071,Triglycerides,,17,41878166.0,,rs8077889,14345.0,11359.0,0.0,,0.2195,-1.51,0.3168,-1.703,0.2243,-1.9609999999999999,0.4193,-0.9077,0.379,-2.6310000000000002,0.4942,1.0,1.0,1.07,0.054479999999999994,Lipids,TRIGLYCERIDES BLOOD,rs8077889,Trigs,Hyperglyceridemia,Triglycerides
749,rs645040,Trigs,max,0.1869,4.96,Triglycerides,,3,135926622.0,,rs645040,14345.0,11359.0,0.0,,0.2281,1.264,0.3911,0.7902,0.5637,1.5859999999999999,0.5036,0.6476,0.5205,4.96,0.1869,1.0,1.0,1.0,0.9111,Lipids,TRIGLYCERIDES BLOOD,rs645040,Trigs,Hyperglyceridemia,Triglycerides
750,rs1495741,Trigs,median,0.001327,4.419,"Bladder cancer || Triglycerides || Cholesterol, total",,8,18272881.0,,rs1495741,14345.0,11359.0,0.0,,0.2268,4.548,0.002149,4.419,0.001327,6.1,0.01054,1.54,0.1287,10.83,0.004186,1.0,1.0,0.96,0.2237,Lipids,TRIGLYCERIDES BLOOD,rs1495741,Trigs,Hyperglyceridemia,Triglycerides
752,rs731839,Trigs,ever_high,0.2237,0.9636,HDL cholesterol || Triglycerides || Adiponectin levels,Adiponectin levels || Type 2 diabetes || Fasting insulin-related traits (interaction with BMI),19,33899065.0,PEPD,rs731839,14345.0,11359.0,0.0,"Silent,Silent,Silent",0.332,0.6511,0.6175,0.6632,0.584,-1.906,0.3636,0.7625,0.3925,-0.6533,0.8443,1.0,1.0,0.96,0.2237,Lipids,TRIGLYCERIDES BLOOD,rs731839,Trigs,Hyperglyceridemia,Triglycerides
753,rs12748152,Trigs,median,0.003896,6.207000000000001,HDL cholesterol || Triglycerides || LDL cholesterol,,1,27138393.0,,rs12748152,14345.0,11359.0,0.0,,0.07733,5.744,0.013080000000000001,6.207000000000001,0.003896,5.442,0.14400000000000002,3.366,0.03354,7.1739999999999995,0.2244,1.0,1.0,0.99,0.843,Lipids,TRIGLYCERIDES BLOOD,rs12748152,Trigs,Hyperglyceridemia,Triglycerides
754,rs11776767,Trigs,min,0.02833,1.929,Triglycerides,Carotid intima media thickness (cIMT) || Triglycerides,8,10683929.0,PINX1,rs11776767,14345.0,11359.0,0.0,Silent,0.3682,2.5860000000000003,0.0444,2.046,0.08682999999999999,1.3019999999999998,0.5292,1.929,0.02833,4.636,0.1576,1.0,1.0,1.03,0.4036,Lipids,TRIGLYCERIDES BLOOD,rs11776767,Trigs,Hyperglyceridemia,Triglycerides
755,rs5756931,Trigs,mean,0.05587999999999999,-2.451,Triglycerides,Cutaneous nevi || Melanoma || Triglycerides,22,38546033.0,PLA2G6,rs5756931,14345.0,11359.0,0.0,"Silent,Silent,Silent",0.3831,-2.451,0.05587999999999999,-2.126,0.07051,0.4437,0.8356,-1.2919999999999998,0.1318,-4.104,0.2338,1.0,1.0,1.01,0.8755,Lipids,TRIGLYCERIDES BLOOD,rs5756931,Trigs,Hyperglyceridemia,Triglycerides
757,rs6882076,Trigs,mean,7.804e-05,-5.092,"Cholesterol, total || LDL cholesterol || Triglycerides",,5,156390297.0,,rs6882076,14345.0,11359.0,0.0,,0.3668,-5.092,7.804e-05,-4.664,9.793e-05,-5.441,0.008764,-3.2960000000000003,0.0001855,-9.035,0.006036,1.0,1.0,1.02,0.5768,Lipids,TRIGLYCERIDES BLOOD,rs6882076,Trigs,Hyperglyceridemia,Triglycerides
758,rs2954029,Trigs,mean,6.78e-07,-6.1339999999999995,"LDL cholesterol || Triglycerides || Cholesterol, total || HDL cholesterol",,8,126490972.0,,rs2954029,14345.0,11359.0,0.0,,0.4515,-6.1339999999999995,6.78e-07,-5.331,3.353e-06,-8.199,3.69e-05,-2.8110000000000004,0.0008771000000000001,-14.4,4.8469999999999995e-06,1.0,1.0,0.92,0.006418999999999999,Lipids,TRIGLYCERIDES BLOOD,rs2954029,Trigs,Hyperglyceridemia,Triglycerides
761,rs4765127,Trigs,median,0.03792,-2.497,Triglycerides || HDL cholesterol,,12,124460167.0,"ZNF664-FAM101A,ZNF664",rs4765127,14345.0,11359.0,0.0,"Silent,Silent,Silent",0.3312,-2.445,0.06291000000000001,-2.497,0.03792,-2.49,0.2594,-1.413,0.1097,-3.653,0.3033,1.0,1.0,0.99,0.705,Lipids,TRIGLYCERIDES BLOOD,rs4765127,Trigs,Hyperglyceridemia,Triglycerides
767,rs10503669,Trigs,median,4.62e-18,-16.54,Triglycerides || HDL cholesterol,,8,19847690.0,,rs10503669,14345.0,11359.0,0.0,,0.09997,-17.64,9.216000000000001e-18,-16.54,4.62e-18,-20.34,7.927000000000001e-10,-9.245,4.952000000000001e-11,-31.84,1.2820000000000001e-09,1.0,1.0,0.83,6.53e-05,Lipids,TRIGLYCERIDES BLOOD,rs10503669,Trigs,Hyperglyceridemia,Triglycerides
770,rs6544366,Trigs,min,0.0006989,-3.366,Triglycerides,,2,21204025.0,,rs6544366,14345.0,11359.0,0.0,,0.2377,-3.7889999999999997,0.009061,-3.716,0.005863,-5.598,0.016569999999999998,-3.366,0.0006989,-3.785,0.3068,1.0,1.0,0.98,0.5763,Lipids,TRIGLYCERIDES BLOOD,rs6544366,Trigs,Hyperglyceridemia,Triglycerides
771,rs4938303,Trigs,median,1.127e-13,9.671,Triglycerides,,11,116584987.0,,rs4938303,14345.0,11359.0,0.0,,0.2618,10.3,2.036e-13,9.671,1.127e-13,13.37,3.023e-09,4.691,1.0220000000000001e-06,20.5,9.941999999999999e-09,1.0,1.0,1.1,0.005713,Lipids,TRIGLYCERIDES BLOOD,rs4938303,Trigs,Hyperglyceridemia,Triglycerides
773,rs1260333,Trigs,median,1.3519999999999999e-11,7.954,Triglycerides,,2,27748624.0,,rs1260333,14345.0,11359.0,0.0,,0.4402,8.524,3.227e-11,7.954,1.3519999999999999e-11,11.58,6.559000000000001e-08,4.234,7.587e-07,15.23,1.133e-05,1.0,1.0,1.07,0.038419999999999996,Lipids,TRIGLYCERIDES BLOOD,rs1260333,Trigs,Hyperglyceridemia,Triglycerides
774,rs1178979,Trigs,mean,6.4270000000000005e-06,-7.1160000000000005,Triglycerides,Hypertriglyceridemia || Triglycerides || Urate levels || Caffeine consumption || Protein C levels,7,72856430.0,BAZ1B,rs1178979,14345.0,11359.0,0.0,Silent,0.1939,-7.1160000000000005,6.4270000000000005e-06,-6.419,1.175e-05,-5.343999999999999,0.035339999999999996,-3.2680000000000002,0.002437,-13.38,0.0008895,1.0,1.0,0.99,0.8404,Lipids,TRIGLYCERIDES BLOOD,rs1178979,Trigs,Hyperglyceridemia,Triglycerides
777,rs2304130,Trigs,median,0.004993,-5.86,"Triglycerides || Sphingolipid levels (proportions) || LDL cholesterol || Cholesterol, total","Cholesterol, total || LDL cholesterol || Sphingolipid levels (proportions) || Triglycerides",19,19789528.0,ZNF101,rs2304130,14345.0,11359.0,0.0,Silent,0.08273,-6.297000000000001,0.005107,-5.86,0.004993,-8.876,0.0141,-3.264,0.033710000000000004,-12.62,0.02769,1.0,1.0,1.0,0.9915,Lipids,TRIGLYCERIDES BLOOD,rs2304130,Trigs,Hyperglyceridemia,Triglycerides
779,rs6867983,Trigs,mean,0.0033880000000000004,5.313,Triglycerides || Waist circumference (men),,5,55854153.0,,rs6867983,14345.0,11359.0,0.0,,0.1347,5.313,0.0033880000000000004,4.678,0.005487,1.507,0.6055,3.48,0.005027,7.221,0.1185,1.0,1.0,1.03,0.4979,Lipids,TRIGLYCERIDES BLOOD,rs6867983,Trigs,Hyperglyceridemia,Triglycerides
788,rs439401,Trigs,median,7.503999999999999e-08,-6.385,HDL Cholesterol - Triglycerides (HDLC-TG) || Triglycerides || Alzheimer's disease biomarkers (<1x10-6; AB1-42),,19,45414451.0,,rs439401,14345.0,11359.0,0.0,,0.3704,-6.761,1.219e-07,-6.385,7.503999999999999e-08,-9.029,1.133e-05,-4.096,2.803e-06,-12.01,0.0002294,1.0,1.0,0.98,0.47600000000000003,Lipids,TRIGLYCERIDES BLOOD,rs439401,Trigs,Hyperglyceridemia,Triglycerides
792,rs2247056,Trigs,min,0.1352,-1.422,Triglycerides || Height,,6,31265490.0,,rs2247056,14345.0,11359.0,0.0,,0.2728,-1.008,0.469,-0.6257,0.6285,-2.354,0.2933,-1.422,0.1352,-2.283,0.5193,1.0,1.0,0.95,0.13699999999999998,Lipids,TRIGLYCERIDES BLOOD,rs2247056,Trigs,Hyperglyceridemia,Triglycerides
814,rs7350481,Trigs,median,2.47e-22,22.72,Hematological and biochemical traits (HDL) || Triglycerides,,11,116586283.0,,rs7350481,14345.0,11359.0,0.0,,0.06179,24.28,5.0139999999999995e-22,22.72,2.47e-22,31.72,4.963e-15,12.53,3.46e-13,47.88,9.065e-14,1.0,1.0,1.3,3.567e-05,Lipids,TRIGLYCERIDES BLOOD,rs7350481,Trigs,Hyperglyceridemia,Triglycerides
815,rs10889353,Trigs,median,6.259e-05,-4.907,"Lipid metabolism phenotypes (TG.by.NMR, whole) || LDL cholesterol || Lipid metabolism phenotypes (VLDL.medium, fasting) || Lipid metabolism phenotypes (VLDL.total, whole) || Triglycerides || Lipid metabolism phenotypes (TG.by.NMR, fasting) || Lipid metabolism phenotypes (VLDL.total, fasting) || Cholesterol, total || Lipid metabolism phenotypes (VLDL.small, whole)","Lipid metabolism phenotypes (VLDL.small, fasting) || Triglycerides || Lipid metabolism phenotypes (MobCH) || Cholesterol, total || LDL cholesterol || Metabolite levels || Lipid metabolism phenotypes (TG.by.NMR, fasting) || Lipid metabolism phenotypes (TG.by.NMR, whole) || Lipid metabolism phenotypes (VLDL.medium, fasting) || Lipid metabolism phenotypes (VLDL.small, whole) || Lipid metabolism phenotypes (VLDL.total, fasting) || Lipid metabolism phenotypes (VLDL.total, whole)",1,63118196.0,DOCK7,rs10889353,14345.0,11359.0,0.0,Silent,0.3379,-5.186,8.522e-05,-4.907,6.259e-05,-4.523,0.03325,-2.5639999999999996,0.004514,-9.884,0.003331,1.0,1.0,0.99,0.6775,Lipids,TRIGLYCERIDES BLOOD,rs10889353,Trigs,Hyperglyceridemia,Triglycerides
816,rs10096633,Trigs,median,1.205e-20,-15.88,Triglycerides || Metabolic traits (TG),,8,19830921.0,,rs10096633,14345.0,11359.0,0.0,,0.1296,-17.04,1.6680000000000002e-20,-15.88,1.205e-20,-21.34,5.141e-13,-8.677,4.9790000000000005e-12,-33.33,1.119e-12,1.0,1.0,0.85,6.561e-05,Lipids,TRIGLYCERIDES BLOOD,rs10096633,Trigs,Hyperglyceridemia,Triglycerides
819,rs10892151,Trigs,min,0.01693,-6.256,Triglycerides,Triglycerides || Menarche (age at onset) (African American),11,117531731.0,DSCAML1,rs10892151,14345.0,11359.0,0.0,Silent,0.02709,-8.456,0.02723,-7.882000000000001,0.026719999999999997,-7.746,0.2088,-6.256,0.01693,-13.2,0.1767,1.0,1.0,0.95,0.5607,Lipids,TRIGLYCERIDES BLOOD,rs10892151,Trigs,Hyperglyceridemia,Triglycerides
820,rs1167998,Trigs,median,2.266e-05,-5.166,"Lipid metabolism phenotypes (VLDL.small, fasting) || Triglycerides","Lipid metabolism phenotypes (VLDL.small, fasting) || Triglycerides || Lipid metabolism phenotypes (MobCH) || Cholesterol, total || LDL cholesterol || Metabolite levels || Lipid metabolism phenotypes (TG.by.NMR, fasting) || Lipid metabolism phenotypes (TG.by.NMR, whole) || Lipid metabolism phenotypes (VLDL.medium, fasting) || Lipid metabolism phenotypes (VLDL.small, whole) || Lipid metabolism phenotypes (VLDL.total, fasting) || Lipid metabolism phenotypes (VLDL.total, whole)",1,62931632.0,DOCK7,rs1167998,14345.0,11359.0,0.0,Silent,0.3432,-5.52,2.608e-05,-5.166,2.266e-05,-4.927,0.01969,-2.7310000000000003,0.002355,-10.83,0.001227,1.0,1.0,0.98,0.5016,Lipids,TRIGLYCERIDES BLOOD,rs1167998,Trigs,Hyperglyceridemia,Triglycerides
821,rs6754295,Trigs,min,0.0004888,-3.4560000000000004,"HDL cholesterol || Triglycerides || Lipid metabolism phenotypes (VLDL.small, fasting)",,2,21206183.0,,rs6754295,14345.0,11359.0,0.0,,0.2383,-3.8680000000000003,0.007606,-3.758,0.00524,-5.558,0.017159999999999998,-3.4560000000000004,0.0004888,-3.845,0.2984,1.0,1.0,0.98,0.5714,Lipids,TRIGLYCERIDES BLOOD,rs6754295,Trigs,Hyperglyceridemia,Triglycerides
822,rs780094,Trigs,median,8.404e-15,9.136000000000001,Fasting insulin-related traits (interaction with BMI) || Fasting glucose-related traits (FPG) || Triglycerides (Hispanic) || Uric acid levels || LDL cholesterol || Fasting insulin-related traits (HOMA-IR) || Fasting glucose-related traits (HOMA-IR) || Fasting glucose-related traits (interaction with BMI) || C-reactive protein || Urate levels || Fasting insulin-related traits (FI) || Calcium levels || Metabolic traits (glucose/mannose + 54 other traits) || Triglycerides || Metabolic syndrome (TG) || Fasting glucose-related traits (FI) || Phospholipid levels (plasma) (DPA),Metabolite levels (ALB) || Triglycerides || Breast size || Calcium levels || Crohn's disease || Palmitic acid (16:0) plasma levels || Palmitoleic acid (16:1n-7) plasma levels || Sex hormone-binding globulin levels (Men + Women) || Sex hormone-binding globulin levels (Men) || Sex hormone-binding globulin levels (Women) || Triglycerides-Blood Pressure (TG-BP) || Urate levels (Urate) || Waist Circumference - Triglycerides (WC-TG) || C-reactive protein || Fasting glucose-related traits (FI) || Fasting glucose-related traits (FPG) || Fasting glucose-related traits (HOMA-IR) || Fasting glucose-related traits (interaction with BMI) || Fasting insulin-related traits (FI) || Fasting insulin-related traits (HOMA-IR) || Fasting insulin-related traits (interaction with BMI) || LDL cholesterol || Metabolic syndrome (TG) || Metabolic traits (glucose/mannose + 54 other traits) || Phospholipid levels (plasma) (DPA) || Triglycerides (Hispanic) || Urate levels || Uric acid levels || Cardiovascular disease risk factors (TRIG) |,2,27741237.0,GCKR,rs780094,14345.0,11359.0,0.0,Silent,0.3937,9.83,8.768e-15,9.136000000000001,8.404e-15,13.41,4.8990000000000003e-11,5.0360000000000005,6.338e-09,18.32,1.482e-08,1.0,1.0,1.06,0.04797,Lipids,TRIGLYCERIDES BLOOD,rs780094,Trigs,Hyperglyceridemia,Triglycerides
